0	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	2025-01-01T00:00:00Z	Sorry, planned but not yet available
1	2025-06-15T10:00:00Z	2025-03-01T09:00:00Z	2026-01-10T14:00:00Z	API Design Plan
2	2025-09-20T11:00:00Z	2025-04-01T08:00:00Z	2026-01-05T16:00:00Z	Auth Module Task
3	2025-12-01T15:00:00Z	2025-02-01T10:00:00Z	2026-01-15T09:00:00Z	REST Concepts
4	2025-07-10T14:00:00Z	2025-06-01T11:00:00Z	2025-08-01T10:00:00Z	Database Migration Task
5	2025-08-01T09:00:00Z	2025-07-01T08:00:00Z	2025-09-01T12:00:00Z	Sprint Retrospect
6	2025-08-01T13:00:00Z	2025-08-01T13:00:00Z	2025-08-01T13:00:00Z	Feature Flag System
7	2025-11-15T16:00:00Z	2025-05-01T07:00:00Z	2026-01-12T11:00:00Z	Logging Framework
8	2025-10-20T10:00:00Z	2025-09-01T09:00:00Z	2025-12-01T15:00:00Z	Deploy Pipeline Plan
9	2025-12-20T12:00:00Z	2025-01-15T06:00:00Z	2026-01-14T08:00:00Z	Caching Strategy
